I,t,e,r,a,t,i,o,n,:, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
P,o,p,u,l,a,t,i,o,n,:, 
8000,8600,8874,8923,8851,8868,8826,8744,8876,9049,9101,9246,9511,9584,9546,9638,9627,9526,9485,9497,9488,9500,9553,9587,9507,9541,9629,9637,9546,9606,9559,9531,9608,9681,9640,9622,9723,9707,9673,9771,9702,9649,9672,9635,9536,9593,9651,9682,9692,9805,9814
M,a,l,e, ,p,o,p,u,l,a,t,i,o,n,:
4284,4433,4424,4400,4441,4395,4357,4411,4520,4554,4654,4811,4843,4836,4870,4819,4787,4738,4710,4712,4746,4765,4770,4763,4785,4851,4855,4823,4807,4790,4772,4810,4810,4794,4785,4811,4814,4794,4857,4812,4846,4843,4799,4733,4774,4794,4787,4774,4821,4847
F,e,m,a,l,e, ,p,o,p,u,l,a,t,i,o,n,:
4316,4441,4499,4451,4427,4431,4387,4465,4529,4547,4592,4700,4741,4710,4768,4808,4739,4747,4787,4776,4754,4788,4817,4744,4756,4778,4782,4723,4799,4769,4759,4798,4871,4846,4837,4912,4893,4879,4914,4890,4803,4829,4836,4803,4819,4857,4895,4918,4984,4967
I,n,f,e,c,t,e,d,:, 
803,840,865,868,846,834,802,782,762,747,748,719,726,715,706,698,671,653,636,613,592,582,587,570,560,541,550,544,520,528,498,482,491,484,473,464,441,430,412,412,408,387,375,360,344,337,317,315,288,292,278
A,g,e, ,o,f, ,m,o,t,h,e,r, ,a,t, ,b,i,r,t,h,:, 
0,1343,30978,22906,1769,0,0,0,0
A,g,e, ,o,f, ,d,e,a,t,h,:, 
0,0,0,0,0,0,0,11251,13342,30589
A,g,e, ,d,i,s,t,r,i,b,u,t,i,o,n,:, 
0,0,0,0,0,0,0,0,0
R,e,g,i,o,n, ,p,o,p,u,l,a,t,i,o,n,:, 
1832,1916,1478,1717,1692,1179
